danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,song_popularity
0.0935,0.182,2,-18.048,0,0.0382,0.579,0.176,0.195,0.136,173.973,audio_features,6tmFjTWkPw866t636CagXy,spotify:track:6tmFjTWkPw866t636CagXy,https://api.spotify.com/v1/tracks/6tmFjTWkPw866t636CagXy,https://api.spotify.com/v1/audio-analysis/6tmFjTWkPw866t636CagXy,511164,4,Toccata And Fugue In D Minor BWV 565,0
0.226,0.0823,9,-20.122,1,0.0467,0.942,0.216,0.114,0.0615,61.058,audio_features,5vT5xlpxhTPyqnsRrBRcyp,spotify:track:5vT5xlpxhTPyqnsRrBRcyp,https://api.spotify.com/v1/tracks/5vT5xlpxhTPyqnsRrBRcyp,https://api.spotify.com/v1/audio-analysis/5vT5xlpxhTPyqnsRrBRcyp,258187,4,Forgetting,0
0.742,0.779,5,-6.107,1,0.185,0.0394,2.35e-05,0.0612,0.881,125.662,audio_features,3QrhkUeBVwbNy16Tlnb97Z,spotify:track:3QrhkUeBVwbNy16Tlnb97Z,https://api.spotify.com/v1/tracks/3QrhkUeBVwbNy16Tlnb97Z,https://api.spotify.com/v1/audio-analysis/3QrhkUeBVwbNy16Tlnb97Z,215187,4,White Knuckle Ride,0
0.639,0.69,7,-10.047,1,0.264,0.0265,0.000551,0.146,0.579,119.63,audio_features,2oX46s90nkZtTbCowHiWVs,spotify:track:2oX46s90nkZtTbCowHiWVs,https://api.spotify.com/v1/tracks/2oX46s90nkZtTbCowHiWVs,https://api.spotify.com/v1/audio-analysis/2oX46s90nkZtTbCowHiWVs,199600,4,You Give Me Something,0
0.746,0.922,10,-5.014,1,0.236,0.246,0.0,0.515,0.638,86.961,audio_features,6UaRii9AH6Zss9xNMEQ2M9,spotify:track:6UaRii9AH6Zss9xNMEQ2M9,https://api.spotify.com/v1/tracks/6UaRii9AH6Zss9xNMEQ2M9,https://api.spotify.com/v1/audio-analysis/6UaRii9AH6Zss9xNMEQ2M9,263373,4,Love The Way You Lie,0
0.56,0.747,3,-4.471,0,0.171,0.117,0.0,0.0682,0.774,173.944,audio_features,6WTfLaLQsrVzLwYigoGv3W,spotify:track:6WTfLaLQsrVzLwYigoGv3W,https://api.spotify.com/v1/tracks/6WTfLaLQsrVzLwYigoGv3W,https://api.spotify.com/v1/audio-analysis/6WTfLaLQsrVzLwYigoGv3W,222987,4,Rude Boy,0
0.529,0.983,10,-3.374,0,0.0493,0.00211,0.000763,0.16,0.606,124.037,audio_features,3rlbSI72HLZrJckh4PNe3T,spotify:track:3rlbSI72HLZrJckh4PNe3T,https://api.spotify.com/v1/tracks/3rlbSI72HLZrJckh4PNe3T,https://api.spotify.com/v1/audio-analysis/3rlbSI72HLZrJckh4PNe3T,185800,4,Dannaya,11
0.453,0.425,5,-7.198,1,0.0325,0.495,0.0,0.254,0.144,83.413,audio_features,7zP67rufQgoODWFI45jntD,spotify:track:7zP67rufQgoODWFI45jntD,https://api.spotify.com/v1/tracks/7zP67rufQgoODWFI45jntD,https://api.spotify.com/v1/audio-analysis/7zP67rufQgoODWFI45jntD,278400,4,Broken-Hearted Girl,59
0.54,0.576,1,-6.679,1,0.0483,0.0577,0.0,0.114,0.203,86.959,audio_features,1leG3qAx1fYT1R4CXxxSm4,spotify:track:1leG3qAx1fYT1R4CXxxSm4,https://api.spotify.com/v1/tracks/1leG3qAx1fYT1R4CXxxSm4,https://api.spotify.com/v1/audio-analysis/1leG3qAx1fYT1R4CXxxSm4,223587,4,Scared of Lonely,43
0.742,0.764,10,-4.75,1,0.0254,0.425,0.0,0.0859,0.799,96.002,audio_features,02hospB1AIJQmyDFfd3IQP,spotify:track:02hospB1AIJQmyDFfd3IQP,https://api.spotify.com/v1/tracks/02hospB1AIJQmyDFfd3IQP,https://api.spotify.com/v1/audio-analysis/02hospB1AIJQmyDFfd3IQP,245107,4,Sometimes,40
